title,description,url,wikidata_id,inserted_at,updated_at
Effective altruism,Philosophy and social movement that applies evidence and reason to determine the most effective ways to benefit others,https://en.wikipedia.org/wiki/Effective_altruism,Q13489381,2020-05-30 20:45:25,2020-05-30 20:45:25
Attribution bias,The systematic errors made when people evaluate their own and others' behaviors,https://en.wikipedia.org/wiki/Attribution_bias,Q849538,2020-05-30 20:45:25,2020-05-30 20:45:25
Hemingway Special,"Cocktail made of rum, maraschino, grapefruit juice, and lime juice",https://en.m.wikipedia.org/wiki/Hemingway_Special,Q26879521,2020-05-30 20:45:25,2020-05-30 20:45:25
Sacred geometry,Symbolic and sacred meanings ascibed to certain geometric shapes,https://en.wikipedia.org/wiki/Sacred_geometry,Q583915,2020-05-30 20:45:25,2020-05-30 20:45:25
Project Cybersyn,Chilean economic project,https://en.wikipedia.org/wiki/Project_Cybersyn,Q1147211,2020-05-30 20:45:25,2020-05-30 20:45:25
Flynn effect,20th century rise in overall human intelligence,https://en.wikipedia.org/wiki/Flynn_effect,Q508736,2020-05-30 20:45:25,2020-05-30 20:45:25
Osborne effect,The drop in sales of a company prematurely announcing a future product,https://en.wikipedia.org/wiki/Osborne_effect,Q2634790,2020-05-30 20:45:25,2020-05-30 20:45:25
Letter and spirit of the law,Concepts in philosophy of law,https://en.wikipedia.org/wiki/Letter_and_spirit_of_the_law,Q6533542,2020-05-30 20:45:25,2020-05-30 20:45:25
Syd Mead,American concept artist,https://en.wikipedia.org/wiki/Syd_Mead,Q940474,2020-05-30 20:45:25,2020-05-30 20:45:25
Synaptic pruning,Process of synapse elimination that occurs between early childhood and the onset of puberty,https://en.wikipedia.org/wiki/Synaptic_pruning,Q2124069,2020-05-30 20:45:25,2020-05-30 20:45:25
Positive psychology,Scientific study of the positive aspects of the human experience that make life worth living,https://en.m.wikipedia.org/wiki/Positive_psychology,Q718809,2020-05-30 20:45:25,2020-05-30 20:45:25
Nicene Creed,Statement of belief adopted at the First Ecumenical Council in 325,https://en.wikipedia.org/wiki/Nicene_Creed,Q207937,2020-05-30 20:45:25,2020-05-30 20:45:25
Conway's law,Adage stating that organizations design systems that mirror their own communication structure,https://en.wikipedia.org/wiki/Conway%27s_law,Q1518855,2020-05-30 20:45:25,2020-05-30 20:45:25
First,Disambiguation page providing links to topics that could be referred to by the same search term,https://en.wikipedia.org/wiki/First,Q351401,2020-05-30 20:45:25,2020-05-30 20:45:25
Pumpkin ale,Style of beer,https://en.wikipedia.org/wiki/Pumpkin_ale,Q16878201,2020-05-30 20:45:25,2020-05-30 20:45:25
